iter	Logloss
0	0.5893127763
1	0.5343935297
2	0.5053470659
3	0.4717925301
4	0.4555617584
5	0.4402013938
6	0.4226310615
7	0.4131956297
8	0.4041693992
9	0.3934145363
10	0.384786815
11	0.3785836692
12	0.3707880266
13	0.3646874107
14	0.3574202268
15	0.3527863214
16	0.3489450817
17	0.3447012437
18	0.3375394621
19	0.3344161534
20	0.3314872012
21	0.3284541353
22	0.3250287117
23	0.322735152
24	0.3208803079
25	0.3185946969
26	0.3163246793
27	0.3140335809
28	0.3120084479
29	0.3088105508
30	0.3071655073
31	0.3043277798
32	0.3014038659
33	0.2994640993
34	0.2981273041
35	0.2969211657
36	0.295281993
37	0.2940632412
38	0.2925701674
39	0.2909735353
40	0.2896063701
41	0.2882237307
42	0.287562517
43	0.2854786064
44	0.2823965269
45	0.2807475646
46	0.2800830703
47	0.2789460719
48	0.2778154812
49	0.2763410598
50	0.275455609
51	0.2741072279
52	0.2729533118
53	0.2716538579
54	0.2694224211
55	0.2680669623
56	0.2661558775
57	0.2650236611
58	0.264340195
59	0.2633527357
60	0.2629630284
61	0.2616618612
62	0.2585779272
63	0.2570801462
64	0.2547956216
65	0.2537690146
66	0.2527086435
67	0.251864388
68	0.2503600045
69	0.2492667155
70	0.2481866062
71	0.2470071856
72	0.2460858179
73	0.24511572
74	0.2445339056
75	0.2435470833
76	0.2420590286
77	0.2412817158
78	0.240085392
79	0.2388734995
80	0.2376634359
81	0.2368525441
82	0.2361614386
83	0.23541818
84	0.2344907876
85	0.2335112236
86	0.232756169
87	0.2318017334
88	0.230866239
89	0.229821961
90	0.2287405757
91	0.2276140307
92	0.226817532
93	0.2254148334
94	0.2246677784
95	0.2242183773
96	0.2236669627
97	0.2228996916
98	0.2221038126
99	0.2214888136
100	0.2205389612
101	0.2194695067
102	0.2188504596
103	0.2182396949
104	0.2175943679
105	0.2171130103
106	0.2159555498
107	0.2151819265
108	0.2142768539
109	0.2135712903
110	0.2124637396
111	0.2120608113
112	0.2114198729
113	0.2106956033
114	0.2099910274
115	0.2094118515
116	0.2089601496
117	0.2082193632
118	0.2072906627
119	0.2065655908
120	0.2060923228
121	0.2053809355
122	0.204653474
123	0.2043052018
124	0.2034583707
125	0.2026538273
126	0.2018014577
127	0.2009311893
128	0.2004572813
129	0.1999864372
130	0.1996278828
131	0.1989977345
132	0.1985229385
133	0.1978179712
134	0.1971346169
135	0.196213402
136	0.1954706926
137	0.1949111298
138	0.1943204013
139	0.193905895
140	0.19317099
141	0.1927826319
142	0.1920980061
143	0.1913435386
144	0.1907463894
145	0.190509269
146	0.1899044271
147	0.1892120367
148	0.1884241364
149	0.1876805934
150	0.1872626368
151	0.1870085826
152	0.1865282885
